ID ,Department
1,"Microbiology, Immunology, and Pathology"
2,Environmental & Radiological Health Sciences
3,Clinical Sciences
4,Clinical Sciences
5,Clinical Sciences
6,Environmental & Radiological Health Sciences
7,Clinical Sciences
8,Biomedical Sciences
1A-1,Environmental & Radiological Health Sciences
9,Clinical Sciences
10,Clinical Sciences
14,"Microbiology, Immunology, and Pathology"
12,Clinical Sciences
13,Clinical Sciences
U01,"Microbiology, Immunology, and Pathology"
1B-1,Environmental & Radiological Health Sciences
U02,Environmental & Radiological Health Sciences
2A-1,Environmental & Radiological Health Sciences
U03,"Microbiology, Immunology, and Pathology"
15,Environmental & Radiological Health Sciences
16,"Microbiology, Immunology, and Pathology"
18,Environmental & Radiological Health Sciences
19,Clinical Sciences
20,Environmental & Radiological Health Sciences
21,Biomedical Sciences
22,Biomedical Sciences
23,Clinical Sciences
24,Environmental & Radiological Health Sciences
25,Environmental & Radiological Health Sciences
26,Clinical Sciences
27,Environmental & Radiological Health Sciences
28,"Microbiology, Immunology, and Pathology"
29,"Microbiology, Immunology, and Pathology"
30,Biomedical Sciences
31,Biomedical Sciences
U04,"Microbiology, Immunology, and Pathology"
32,Biomedical Sciences
U05,"Microbiology, Immunology, and Pathology"
U06,Environmental & Radiological Health Sciences
U07,Environmental & Radiological Health Sciences
1A-2,"Microbiology, Immunology, and Pathology"
33,Other
U08,"Microbiology, Immunology, and Pathology"
34,"Microbiology, Immunology, and Pathology"
35,"Microbiology, Immunology, and Pathology"
36,Biomedical Sciences
37,Clinical Sciences
38,Environmental & Radiological Health Sciences
39,Clinical Sciences
1A-3,Biomedical Sciences
U10,Other
40,Environmental & Radiological Health Sciences
41,Clinical Sciences
U20,Environmental & Radiological Health Sciences
42,Clinical Sciences
U11,Clinical Sciences
43,Clinical Sciences
44,Clinical Sciences
45,Clinical Sciences
46,Biomedical Sciences
47,Clinical Sciences
48,Clinical Sciences
1A-4,Clinical Sciences
50,Biomedical Sciences
U12,Environmental & Radiological Health Sciences
U13,Biomedical Sciences
51,"Microbiology, Immunology, and Pathology"
52,Biomedical Sciences
53,Environmental & Radiological Health Sciences
54,Clinical Sciences
55,Clinical Sciences
56,Clinical Sciences
1B-2,Biomedical Sciences
U14,"Microbiology, Immunology, and Pathology"
U15,Clinical Sciences
U16,"Microbiology, Immunology, and Pathology"
57,"Microbiology, Immunology, and Pathology"
58,Environmental & Radiological Health Sciences
11,"Microbiology, Immunology, and Pathology"
2B-1,"Microbiology, Immunology, and Pathology"
59,Clinical Sciences
U17,"Microbiology, Immunology, and Pathology"
U18,Environmental & Radiological Health Sciences
2B-2,Biomedical Sciences
60,"Microbiology, Immunology, and Pathology"
U19,Environmental & Radiological Health Sciences
61,Environmental & Radiological Health Sciences
62,Biomedical Sciences
63,"Microbiology, Immunology, and Pathology"
64,"Microbiology, Immunology, and Pathology"
65,Biomedical Sciences
66,Environmental & Radiological Health Sciences
U21,Clinical Sciences
U22,Biomedical Sciences
67,Environmental & Radiological Health Sciences
U23,Environmental & Radiological Health Sciences
68,Clinical Sciences
69,Biomedical Sciences
2A-2,"Microbiology, Immunology, and Pathology"
70,Clinical Sciences
U24,Biomedical Sciences
U25,"Microbiology, Immunology, and Pathology"
71,Environmental & Radiological Health Sciences
72,Biomedical Sciences
U26,Other
73,"Microbiology, Immunology, and Pathology"
74,Biomedical Sciences
75,Environmental & Radiological Health Sciences
76,Clinical Sciences
U27,"Microbiology, Immunology, and Pathology"
U28,"Microbiology, Immunology, and Pathology"
U29,"Microbiology, Immunology, and Pathology"
U30,"Microbiology, Immunology, and Pathology"
77,Clinical Sciences
U31,Clinical Sciences
78,Environmental & Radiological Health Sciences
2A-3,Environmental & Radiological Health Sciences
79,"Microbiology, Immunology, and Pathology"
80,Biomedical Sciences
U32,"Microbiology, Immunology, and Pathology"
81,Clinical Sciences
U33,Environmental & Radiological Health Sciences
82,"Microbiology, Immunology, and Pathology"
1B-3,"Microbiology, Immunology, and Pathology"
U34,"Microbiology, Immunology, and Pathology"
83,Clinical Sciences
84,Other
U35,Environmental & Radiological Health Sciences
85,Biomedical Sciences
86,Environmental & Radiological Health Sciences
87,Biomedical Sciences
91,Environmental & Radiological Health Sciences
89,Environmental & Radiological Health Sciences
U36,"Microbiology, Immunology, and Pathology"
88,Biomedical Sciences
92,Biomedical Sciences
93,"Microbiology, Immunology, and Pathology"
94,Clinical Sciences
95,Environmental & Radiological Health Sciences
97,"Microbiology, Immunology, and Pathology"
98,"Microbiology, Immunology, and Pathology"
99,Clinical Sciences
U37,"Microbiology, Immunology, and Pathology"
2B-3,Clinical Sciences
100,Biomedical Sciences
101,Clinical Sciences
102,Other
114,Clinical Sciences
1A-5,Biomedical Sciences
103,Other
2A-4,"Microbiology, Immunology, and Pathology"
U38,Biomedical Sciences
1B-4,Biomedical Sciences
104,Other
105,Clinical Sciences
U39,"Microbiology, Immunology, and Pathology"
106,Clinical Sciences
107,"Microbiology, Immunology, and Pathology"
109,Clinical Sciences
U40,Environmental & Radiological Health Sciences
1B-5,"Microbiology, Immunology, and Pathology"
U41,"Microbiology, Immunology, and Pathology"
U42,"Microbiology, Immunology, and Pathology"
1B-6,Clinical Sciences
2A-5,"Microbiology, Immunology, and Pathology"
U43,"Microbiology, Immunology, and Pathology"
110,Environmental & Radiological Health Sciences
111,Other
112,"Microbiology, Immunology, and Pathology"
113,Biomedical Sciences
2B-4,Clinical Sciences
116,Clinical Sciences
117,Biomedical Sciences
118,Clinical Sciences
119,Clinical Sciences
120,"Microbiology, Immunology, and Pathology"
121,Clinical Sciences
122,Clinical Sciences
123,"Microbiology, Immunology, and Pathology"
124,Clinical Sciences
1B-7,Environmental & Radiological Health Sciences
U44,Biomedical Sciences
1B-8,Clinical Sciences
126,Clinical Sciences
127,Clinical Sciences
128,Environmental & Radiological Health Sciences
2B-5,Clinical Sciences
2B-6,Environmental & Radiological Health Sciences
129,Clinical Sciences
U45,Biomedical Sciences
1A-6,Environmental & Radiological Health Sciences
132,Environmental & Radiological Health Sciences
2B-7,Clinical Sciences
133,Clinical Sciences
1A-7,"Microbiology, Immunology, and Pathology"
134,Clinical Sciences
135,Clinical Sciences
1A-8,"Microbiology, Immunology, and Pathology"
2A-6,"Microbiology, Immunology, and Pathology"
136,"Microbiology, Immunology, and Pathology"
2A-7,Environmental & Radiological Health Sciences
137,Clinical Sciences
138,Clinical Sciences
U46,Environmental & Radiological Health Sciences
U47,Other
2B-8,Clinical Sciences
139,Clinical Sciences
140,"Microbiology, Immunology, and Pathology"
141,Clinical Sciences
142,Clinical Sciences
143,Environmental & Radiological Health Sciences
144,"Microbiology, Immunology, and Pathology"
2A-8,Environmental & Radiological Health Sciences
145,Environmental & Radiological Health Sciences
146,Environmental & Radiological Health Sciences
131,Biomedical Sciences
96,Environmental & Radiological Health Sciences
